tau,alpha,sq_errors,sq_errors_old,is_best_tau
3.3,28.60640787415091,2651.703819457629,784904.3305594581,False
3.4,28.326369077461727,2743.4690829651904,812066.8485576966,False
3.5,28.05102517432158,2835.332924717474,839258.545716372,False
3.6,27.780165593117857,2927.3755313071124,866503.1572669055,False
3.7,27.513565907414574,3019.8326092753837,893870.4523455135,False
3.8,27.25132060110252,3112.436954552767,921281.3385476191,False
3.9,26.993362605744846,3205.0202824047483,948686.0035918051,False
4.0,26.73962345302825,3297.5278371503737,976068.2397965104,False
4.1,26.490017429130557,3389.920686895844,1003416.5233211699,False
4.2,26.244422453428257,3482.191275604437,1030728.6175789132,False
4.3,26.00280537551355,3574.30791358594,1057995.142421438,False
4.4,25.765093934509537,3666.199379149765,1085195.0162283308,False
4.5,25.5312111265817,3757.7751003575004,1112301.42970582,False
4.6,25.30104612672946,3849.0756543040043,1139326.3936739855,False
4.7,25.07447270954173,3940.232245705583,1166308.7447288525,False
4.8,24.85148761205911,4031.0298394199895,1193184.8324683174,False
4.9,24.63194718199463,4121.578061964967,1219987.1063416305,False
5.0,24.415881726979293,4211.711968391997,1246666.7426440313,False
5.1,24.203222067642674,4301.396933387644,1273213.4922827426,False
5.2,23.99375735980844,4390.894686075294,1299704.8270782868,False
5.3,23.787542415888865,4479.9443359020925,1326063.5234270194,False
5.4,23.584495266466973,4568.5675686835675,1352296.0003303362,False
5.5,23.384506733014312,4656.846286649514,1378426.5008482558,False
5.6,23.187460253470313,4744.853344731637,1404476.5900405645,False
5.7,22.993327454805772,4832.484034538289,1430415.2742233335,False
5.8,22.802128256642924,4919.613936947429,1456205.7253364385,False
5.9,22.613788989673946,5006.291077623243,1481862.1589764804,False
6.0,22.428270958569517,5092.440106721273,1507362.2715894966,False
6.1,22.245499273264425,5178.089143252922,1532714.3864028654,False
6.2,22.06540024678886,5263.292740619877,1557934.6512234837,False
6.3,21.887939960237873,5347.966119762912,1582997.9714498222,False
6.4,21.71307958872795,5432.090232452518,1607898.7088059457,False
6.5,21.54078769023838,5515.6074703942895,1632619.8112367098,False
6.6,21.37092193485099,5598.744913937011,1657228.4945253553,False
6.7,21.20346439542214,5681.391801439289,1681691.97322603,False
6.8,21.038384552059693,5763.534360844982,1706006.1708101148,False
6.9,20.875656418372323,5845.115370651877,1730154.1497129556,False
7.0,20.71522829820465,5926.135965793093,1754136.2458747553,False
7.1,20.557049049769464,6006.6108587377585,1777956.8141863768,False
7.2,20.40104642114273,6086.624121056482,1801640.7398327186,False
7.3,20.247236924027558,6166.0231430349995,1825142.8503383596,False
7.4,20.09555806481818,6244.8670272531945,1848480.6400669455,False
7.5,19.94596019122795,6323.153671542443,1871653.4867765629,False
7.6,19.798386777066245,6400.912233105687,1894670.0209992835,False
7.7,19.65282975783866,6478.103131449283,1917518.5269089877,False
7.8,19.50922419987907,6554.8094957365865,1940223.6107380297,False
7.9,19.367558033748146,6630.936529867387,1962757.2128407464,False
8.0,19.22777999307352,6706.544541055403,1985137.1841523992,False
8.1,19.08987223202538,6781.588331478994,2007350.1461177827,False
8.2,18.953795919271666,6856.06965111611,2029396.6167303687,False
8.3,18.81951889725884,6929.989464465944,2051276.88148192,False
8.4,18.687021298760165,7003.311072209764,2072980.07737409,False
8.5,18.55626517976964,7076.044223046777,2094509.0900218461,False
8.6,18.42719944266258,7148.246421223521,2115880.940682162,False
8.7,18.29981534905909,7219.865261939652,2137080.117534137,False
8.8,18.174079763526155,7290.914736252511,2158110.761930743,False
8.9,18.049939049865003,7361.484007275954,2178999.266153683,False
9.0,17.92739384017293,7431.469361814225,2199714.9310970115,False
9.1,17.806395597987052,7500.933427312961,2220276.2944846363,False
9.2,17.6868755430755,7570.013857731807,2240724.1018886156,False
9.3,17.568839282504896,7638.6259949744435,2261033.2945124353,False
9.4,17.45227387922386,7706.724462245306,2281190.440824611,False
9.5,17.337166307855128,7774.264793553237,2301182.378891758,False
