tau,alpha,sq_errors,sq_errors_old,is_best_tau
1.4,47.131767190620586,2392.653863960424,1361420.0485934815,False
1.5,46.56374584042844,2420.9473038584265,1377519.0158954451,False
1.6,46.00299567846594,2451.839540587828,1395096.6985944742,False
1.7,45.44829267003316,2484.8962317281516,1413905.9558533188,False
1.8,44.90206766229718,2520.514886771475,1434172.9705729692,False
1.9,44.36528612324002,2558.417850048679,1455739.7566776983,False
2.0,43.83643932443307,2598.397686748021,1478488.2837596238,False
2.1,43.3151291014933,2640.2458142900973,1502299.8683310659,False
2.2,42.799976458855454,2684.120074288366,1527264.322270081,False
2.3,42.293460065227464,2729.446454655606,1553055.03269904,False
2.4,41.79588037177887,2776.5496130974393,1579856.7298524426,False
2.5,41.30620697927977,2825.358622752974,1607629.056346442,False
2.6,40.82388621887656,2875.737198353777,1636294.4658632996,False
2.7,40.348106901306615,2927.4331703162884,1665709.4739099683,False
2.8,39.88008530035211,2980.3299344296984,1695807.732690498,False
2.9,39.41993678482372,3034.536555050116,1726651.2998235165,False
3.0,38.9669789636871,3090.0132783555273,1758217.5553842948,False
3.1,38.52094332748336,3146.788903680239,1790522.8861940564,False
3.2,38.081189280592255,3204.612449749505,1823424.4839074682,False
3.3,37.649063789111565,3263.2155404486284,1856769.6425152693,False
3.4,37.224633513355386,3322.6700253096974,1890599.2444012174,False
3.5,36.80673381939465,3382.7473653438847,1924783.2508806703,False
3.6,36.3951081538106,3443.6955740619687,1959462.781641261,False
3.7,35.989061117748115,3505.08082920637,1994390.9918184243,False
3.8,35.590372823831224,3566.8681076173043,2029547.953234246,False
3.9,35.19879424509358,3629.0911008004596,2064952.8363554617,False
4.0,34.81382193461717,3691.7843446764246,2100625.2921208856,False
4.1,34.43502522449263,3754.916170909188,2136547.301247328,False
4.2,34.061720420830426,3818.267951947078,2172594.4646578864,False
4.3,33.69484033930105,3881.8179087383323,2208754.390072111,False
4.4,33.334499583241005,3945.391850713889,2244927.9630562034,False
4.5,32.98043180029786,4009.1389655282997,2281200.0713856015,False
4.6,32.63233867053726,4073.065044226438,2317574.0101648425,False
4.7,32.28948402543127,4137.291522097199,2354118.876073307,False
4.8,31.952747349711768,4201.582646818515,2390700.526039735,False
4.9,31.621929314470332,4265.918440853524,2427307.5928456546,False
5.0,31.296519809950286,4330.369486841406,2463980.23801276,False
5.1,30.97642308249024,4394.583148319417,2500517.811393748,False
5.2,30.661389387566313,4458.66281089565,2536979.1393996254,False
5.3,30.351791397341294,4522.795825811424,2573470.8248867006,False
