tau,alpha,sq_errors,is_best_tau
1.7,38.281105712477626,7184.93696164638,True
1.8,38.489688868408585,7189.0331918189995,False
1.9,38.69948237229033,7197.529287967508,False
2.0,38.910589350607395,7209.958013082604,False
2.1,39.12305146031887,7226.01582470437,False
2.2,39.336727738688055,7246.239489470563,False
2.3,39.551738867683014,7270.476371081067,False
2.4,39.7681720419493,7298.417666795904,False
2.5,39.985997369449116,7329.672205142944,False
2.6,40.205367533404306,7364.029197310156,False
2.7,40.4262168770844,7401.706962947967,False
2.8,40.648566945857525,7442.832879387037,False
2.9,40.87238912771296,7487.451104998804,False
3.0,41.09757880370034,7535.556923956302,False
3.1,41.32424472547396,7587.32038784305,False
3.2,41.55241777865953,7642.853786630504,False
3.3,41.78221468269002,7702.281288021753,False
3.4,42.01357346519605,7765.380663010694,False
3.5,42.246511841572755,7831.811396763799,False
3.6,42.4811643372496,7901.204942582142,False
3.7,42.71754235516255,7973.689334960342,False
3.8,42.95574374997608,8049.726750218976,False
3.9,43.1957635182023,8129.002136542969,False
4.0,43.437413577024266,8211.951050062278,False
4.1,43.680815620934936,8298.35240972569,False
4.2,43.92584949154594,8387.869680010697,False
4.3,44.172721962721596,8480.817498710188,False
4.4,44.42129832381703,8577.525956454187,False
4.5,44.67175925505074,8677.347932781742,False
4.6,44.924205040868834,8780.083217716247,False
4.7,45.17846571871424,8886.0722108775,False
4.8,45.434601104469834,8995.859374901453,False
4.9,45.69258552059235,9109.919268858672,False
5.0,45.9523871463367,9227.529903052025,False
5.1,46.21413848274685,9348.327548669562,False
5.2,46.47794891845941,9471.995908931518,False
5.3,46.74386180773157,9599.501177937485,False
5.4,47.01162481058747,9731.139074770952,False
5.5,47.28144832882809,9866.31626725157,False
5.6,47.553372236035344,10005.43978327613,False
5.7,47.82739098669595,10147.87375646129,False
5.8,48.103507657182874,10294.877244568706,False
5.9,48.38187720276146,10446.143599855883,False
6.0,48.6622883495084,10601.387392757768,False
6.1,48.945133939039636,10759.975660757236,False
6.2,49.23020469600464,10921.460765820444,False
6.3,49.517356200534444,11086.666888677853,False
6.4,49.806744447116536,11256.170124245104,False
6.5,50.098218553203864,11429.362639270406,False
6.6,50.392142139053966,11605.950853061768,False
6.7,50.688366495611426,11785.696416030269,False
6.8,50.98694553245048,11969.519633945738,False
6.9,51.28785308817838,12157.603944922546,False
7.0,51.591096844560674,12349.692712448023,False
7.1,51.89677753266108,12545.635744237768,False
7.2,52.204666750867,12745.017770891252,False
7.3,52.51460532411183,12949.18579299932,False
7.4,52.82670817642205,13157.89400735701,False
7.5,53.14117298389382,13371.225297134946,False
7.6,53.458104825618584,13589.027026734435,False
7.7,53.777276922365665,13811.152175832438,False
7.8,54.098967682931395,14038.353957950018,False
